Plot ID,Panel,Plot Status
SS-255,2020,Sampled
SS-256,2020,Sampled
SS-257,2020,Sampled
SS-258,2020,Sampled
SS-259,2020,Sampled
SS-260,2020,Sampled
SS-261,2020,Sampled
SS-262,2020,Sampled
SS-263,2020,REJECTED
SS-264,2020,Sampled
SS-265,2020,Sampled
SS-266,2020,REJECTED
SS-267,2020,Sampled
SS-268,2020,Sampled
SS-269,2021,Sampled
SS-270,2021,Sampled
SS-271,2021,Sampled
SS-272,2021,Sampled
AS-005,2022,rejected
AS-006,Oversample 2018,rejected
AS-007,Oversample 2018,rejected
AS-009,Oversample 2019,rejected
AS-010,Oversample 2019,rejected
AS-011,Oversample 2019,rejected
AS-012,,not sampled
GR-024,2021,Sampled
OT-114,2021,Rejected
OT-115,2022,Rejected
OT-116,Oversample 2018,Rejected
PP-174,2021,Rejected
PP-175,2022,Sampled 
MMS-090,2021,Sampled 
MMS-091,2022,Sampled
MMS-092,2022,Sampled
MMS-093,2022,Sampled
MMS-094,2022,Sampled
RI-201,2021,Rejected
RI-202,2021,Sampled
RI-203,2022,Sampled
RI-204,2022,Sampled
PJ-149,2021,Sampled
PJ-150,2021,Sampled
PJ-151,2022,Sampled
PJ-152,2022,Sampled
PJ-153,2022,Sampled
PJ-154,2022,Sampled
SD-370,2021,Sampled
SD-371,2021,Sampled
SD-372,2021,Sampled
SD-373,2021,Sampled
SD-374,2021,Sampled
SD-375,2021,Sampled
SD-376,2021,Rejected 
SD-377,2021,Sampled
SD-378,2021,Sampled
SD-379,2021,Sampled
SD-380,2021,Sampled
SD-381,2022,Sampled
SD-382,2022,Sampled
SD-383,2022,Sampled
SD-384,2022,Sampled
SD-385,2022,Sampled
SD-386,2022,Sampled
SD-387,2022,Sampled
SD-388,2022,Sampled
SD-389,2022,Rejected
SD-390,2022,Rejected
SD-391,2022,Sampled
SS-273,2021,Sampled
SS-274,2021,Rejected
SS-275,2021,Sampled
SS-276,2021,Sampled
SS-277,2021,Sampled
SS-278,2021,Sampled
SS-279,2021,Sampled
SS-280,2021,Sampled
SS-281,2021,Sampled
SS-282,2021,Sampled
SS-283,2021,Sampled
SS-284,2021,Sampled
SS-285,2022,Sampled
SS-286,2022,Sampled
SS-287,2022,Sampled
SS-288,2022,Sampled
SS-289,2022,Sampled
SS-290,2022,Sampled
SS-291,2022,Sampled
SS-292,2022,Sampled
SS-293,2022,Sampled
AS-012,OverSample 2020,SAMPLED
AS-013,OverSample2020,NOT SAMPLED
AS-014,Reject,REJECTED
AS-015,Reject,REJECTED
AS-016,OverSample2021,NOT SAMPLED
AS-017,OverSample2021,NOT SAMPLED
AS-018,Reject,NOT SAMPLED
AS-019,Reject,REJECTED
AS-020,OverSample2022,NOT SAMPLED
